year,lat,lon,dataset,PS_pathway,species,Genus,epithet,little_d13,big_D13,phosphorus,myco_type,N_fix,tmp,par,vpd,z,pre_mean,nitrogen_0.5cm,nitrogen_15.30cm,nitrogen_30.60cm,nitrogen_5.15cm,soc_0.5cm,soc_15.30cm,soc_30.60cm,soc_5.15cm,awi_pm_sr_yr,pet_pm_sr_yr,CO2
1890,47.6068,-122.33392,Sheldon ,C3,Thuja plicata,Thuja,plicata,-24.9392913,18.83981405,3.4185,AM,NA,11.38377976,624.9132479,0.452126909,78,1020.135716,NA,NA,NA,NA,NA,NA,NA,NA,9289,1037,294.4
1890,47.615689,-122.304331,Sheldon ,C3,Thuja plicata,Thuja,plicata,-23.69877208,17.54455652,3.4185,AM,NA,11.38377976,624.9132479,0.452126909,78,1020.135716,NA,NA,NA,NA,NA,NA,NA,NA,10148,1028,294.4
1891,41.119036,-73.421386,Sheldon ,C3,Thuja occidentalis,Thuja,occidentalis,-22.6158547,16.37621684,4.1625,AM,NA,13.00059163,771.8275115,0.499493591,98,1056.728573,NA,NA,NA,NA,NA,NA,NA,NA,9722,1253,294.6
1891,41.269517,-82.208338,Sheldon ,C3,Populus tremuloides,Populus,tremuloides,-24.29902278,18.12955321,21.42600075,EcM-AM,NA,13.09661842,772.2301943,0.446976608,247,822.514286,5.300000191,1.700000048,1.5,2.700000048,44.79999924,9.600000381,6.900000095,19.89999962,8035,1146,294.6
1892,36.88855,-81.521519,Sheldon ,C3,Thuja occidentalis,Thuja,occidentalis,-23.33882111,17.07738719,3.688,AM,NA,12.59221681,768.7443933,0.384882548,811,1039.550001,5.800000191,1,0.600000024,2.099999905,92.90000153,13.80000019,5.900000095,30.79999924,9301,1184,294.8
1892,45.48,-84.59,Sheldon ,C3,Thuja occidentalis,Thuja,occidentalis,-26.23505048,20.10243899,8.49,AM,NA,11.89726474,807.7702176,0.385620229,286,601.4178575,NA,NA,NA,NA,NA,NA,NA,NA,7835,992,294.8
1892,47.03806,-122.8944,Sheldon ,C3,Thuja plicata,Thuja,plicata,-24.88439855,18.68947489,0.8975,AM,NA,10.71116071,622.496506,0.361232692,61,1237.964287,12.69999981,7.900000095,7.400000095,8.600000381,69.30000305,28.89999962,20.10000038,47.90000153,12824,1001,294.8
1892,42.987232,-82.428501,Sheldon ,C3,Populus tremuloides,Populus,tremuloides,-28.28094349,22.25020014,8.1568,EcM-AM,NA,12.9716572,820.7390819,0.431590208,188,677.1946433,NA,NA,NA,NA,NA,NA,NA,NA,7949,1069,294.8
1892,36.886752,-81.520426,Sheldon ,C3,Thuja occidentalis,Thuja,occidentalis,-25.11596808,18.93296635,3.688,AM,NA,12.59221681,768.7443933,0.384882548,811,1039.550001,5.800000191,1,0.600000024,2.099999905,92.90000153,13.80000019,5.900000095,30.79999924,9301,1184,294.8
1893,39.255734,-107.043758,Sheldon ,C3,Populus tremuloides,Populus,tremuloides,-24.78363345,18.60472616,37.4,EcM-AM,NA,8.801445578,1018.603288,0.695506125,2688,300.6999997,5.099999905,2,1.5,2.599999905,86,16.89999962,15.30000019,31.5,3065,1298,294.7
1893,47.57083,-120.60278,Sheldon ,C3,Thuja plicata,Thuja,plicata,-23.8114948,17.59034726,3.8685,AM,NA,8.812942885,756.2201326,0.479270505,1164,509.1839281,5.199999809,1.899999976,1.700000048,2.599999905,58.5,17,9.899999619,27.29999924,4043,1305,294.7
1893,47.717709,-119.64415,Sheldon ,C3,Populus tremuloides,Populus,tremuloides,-25.64548465,19.50571825,9.617,EcM-AM,NA,11.95157242,716.0245508,0.698965776,697,155.067857,1.899999976,0.699999988,0.600000024,0.800000012,18.60000038,5.599999905,4.199999809,8,1795,1364,294.7
1893,42.952755,-85.65186,Sheldon ,C3,Pinus strobus,Pinus,strobus,-24.87072781,18.67592697,4.4774,EcM,NA,13.1017298,776.0605132,0.488834666,222,779.1660712,NA,NA,NA,NA,NA,NA,NA,NA,8026,1154,294.7
1893,39.179953,-107.241275,Sheldon ,C3,Populus tremuloides,Populus,tremuloides,-25.20977561,19.0500224,8.9555,EcM-AM,NA,8.801445578,1018.603288,0.695506125,2688,300.6999997,6,2,1.5,2.900000095,106.0999985,21.39999962,15,42.40000153,2759,1369,294.7
1894,44.295137,-68.286575,Sheldon ,C3,Pinus strobus,Pinus,strobus,-25.74144651,19.6471937,11.2191,EcM,NA,11.21004464,784.3198979,0.309866725,28,0,8.199999809,2.599999905,1.799999952,4.699999809,91.30000305,35.29999924,16.20000076,43.5,13249,1012,294.8
1894,42.94,-85.35,Sheldon ,C3,Thuja occidentalis,Thuja,occidentalis,-24.98631568,18.85749501,12.54685,AM,NA,13.30064123,783.1674201,0.496468816,251,742.1357138,7.900000095,4.099999905,4.099999905,4.900000095,56.29999924,28.20000076,21.39999962,43.09999847,8202,1075,294.8
1894,41.593288,-72.878974,Sheldon ,C3,Pinus strobus,Pinus,strobus,-24.81095911,18.67428605,4.1625,EcM,NA,13.12146194,762.58721,0.518737258,100,956.6446418,12.80000019,2.400000095,1.799999952,4.099999905,152.8000031,16.10000038,6.5,45.90000153,10098,1182,294.8
1894,42.749933,-84.491641,Sheldon ,C3,Thuja occidentalis,Thuja,occidentalis,-24.14769875,17.92043604,53.21405,AM,NA,13.13959235,800.33482,0.467811593,268,667.0035716,NA,NA,NA,NA,NA,NA,NA,NA,7178,1104,294.8
1895,47.25306,-122.44306,Sheldon ,C3,Thuja plicata,Thuja,plicata,-26.52918495,20.47229834,4.6917,AM,NA,11.42529762,621.6891052,0.459753353,135,1061.117857,NA,NA,NA,NA,NA,NA,NA,NA,9917,1090,294.8
1895,42.987232,-82.428501,Sheldon ,C3,Populus tremuloides,Populus,tremuloides,-25.56622273,19.46383959,8.1568,EcM-AM,NA,12.9716572,820.7390819,0.431590208,188,677.1946433,NA,NA,NA,NA,NA,NA,NA,NA,7949,1069,294.8
1895,42.730281,-84.478765,Sheldon ,C3,Populus tremuloides,Populus,tremuloides,-24.93311814,18.80190835,53.21405,EcM-AM,NA,13.13959235,800.33482,0.467811593,268,667.0035716,NA,NA,NA,NA,NA,NA,NA,NA,7257,1099,294.8
1895,42.96,-85.66,Sheldon ,C3,Thuja occidentalis,Thuja,occidentalis,-23.72170053,17.53772519,4.4774,AM,NA,13.1017298,776.0605132,0.488834666,222,779.1660712,NA,NA,NA,NA,NA,NA,NA,NA,8077,1148,294.8
1895,39.846527,-75.275036,Sheldon ,C3,Pinus strobus,Pinus,strobus,-26.04769815,19.96781373,35.17785,EcM,NA,13.85243957,748.5843259,0.610077155,29,1054.369644,NA,NA,NA,NA,NA,NA,NA,NA,8477,1303,294.8
1896,42.2533,-87.8339,Sheldon ,C3,Thuja occidentalis,Thuja,occidentalis,-24.35237407,18.0109843,10.205,AM,NA,13.41650794,792.6161747,0.507310334,190,0,NA,NA,NA,NA,NA,NA,NA,NA,8154,1080,294.9
1896,42.969904,-85.663181,Sheldon ,C3,Populus tremuloides,Populus,tremuloides,-26.42126069,20.17429089,4.4774,EcM-AM,NA,13.1017298,776.0605132,0.488834666,222,779.1660712,NA,NA,NA,NA,NA,NA,NA,NA,8129,1140,294.9
1897,42.45272,-71.235217,Sheldon ,C3,Pinus strobus,Pinus,strobus,-24.3406803,18.21402199,5.952000046,EcM,NA,13.00076569,768.9643496,0.518239483,58,958.9660725,14.80000019,1.700000048,1.5,3.900000095,196,14.80000019,7,43.90000153,10000,1172,294.9
1897,40.633026,-105.264013,Sheldon ,C3,Populus tremuloides,Populus,tremuloides,-26.1434586,20.10062516,24.31375,EcM-AM,NA,10.91837018,894.7187919,0.679797085,1998,339.4107143,4.400000095,1.100000024,0.800000012,1.799999952,67,15.69999981,6.900000095,25.5,2588,1522,294.9
1898,37.542627,-107.906736,Sheldon ,C3,Populus tremuloides,Populus,tremuloides,-23.5276941,17.38676458,37.0815,EcM-AM,NA,8.008707483,1059.060567,0.706305568,3297,367.2321421,6.900000095,1.600000024,1.200000048,2.299999952,85.5,18.20000076,9.800000191,36,4986,1359,294.9
1899,44.347834,-68.335048,Sheldon ,C3,Thuja occidentalis,Thuja,occidentalis,-21.91516456,15.48451015,11.2191,AM,NA,11.21004464,784.3198979,0.309866725,28,0,7.699999809,1.5,1.399999976,3.599999905,88.80000305,28.20000076,11.5,41.09999847,13002,1024,295.3
1899,44.65698,-84.705869,Sheldon ,C3,Thuja occidentalis,Thuja,occidentalis,-24.96371815,18.83388187,5.771,AM,NA,11.95406392,808.88593,0.39340941,387,590.0464297,8.100000381,3.5,3.5,5.300000191,67.19999695,56.5,64.69999695,58.09999847,8373,984,295.3
1899,42.455299,-71.091376,Sheldon ,C3,Thuja occidentalis,Thuja,occidentalis,-22.61281702,16.20935623,5.952000046,AM,NA,13.00076569,768.9643496,0.518239483,58,958.9660725,12.69999981,2.099999905,1.899999976,5,171.3999939,20.5,13.10000038,47.40000153,9248,1223,295.3
1900,38.4098,-84.7051,Sheldon ,C3,Thuja occidentalis,Thuja,occidentalis,-24.62312348,18.29356827,64.84,AM,NA,13.949329,750.120413,0.485489629,247,1071.251786,6.300000191,1.200000048,0.699999988,1.899999976,62.79999924,9.399999619,5.199999809,15.30000019,9220,1238,295.7
1900,44.68818,-86.168409,Sheldon ,C3,Thuja occidentalis,Thuja,occidentalis,-24.3818521,18.05199313,4.33155,AM,NA,12.54298469,808.4893531,0.38335971,188,0,6.800000191,1.299999952,0.800000012,2.5,100.1999969,24.20000076,15.5,57.59999847,8351,1011,295.7
1900,40.769765,-84.935927,Sheldon ,C3,Populus tremuloides,Populus,tremuloides,-26.37370354,20.12446008,8,EcM-AM,NA,13.72748512,780.9759257,0.485010922,250,799.3303581,6.099999905,2,1.799999952,2.299999952,39.70000076,16.10000038,11.69999981,25,8090,1135,295.7
1900,51.1354,17.0646,Sheldon ,C3,Thuja occidentalis,Thuja,occidentalis,-25.01914501,18.70718273,126.6,AM,NA,10.74076344,665.1639517,0.365104444,140,527.4232148,NA,NA,NA,NA,NA,NA,NA,NA,6257,890,295.7
1901,46.553573,-87.416289,Sheldon ,C3,Thuja occidentalis,Thuja,occidentalis,-22.67765294,16.25630785,8.53525,AM,NA,11.75151644,825.1063373,0.332751173,188,0,5.900000095,1.5,1.299999952,2.599999905,75.69999695,23.29999924,19.60000038,41.20000076,8298,982,296.2
