"","x"
"92",6.87198863636364
"93",7.06491883116883
"94",6.06949404761905
"95",6.65386904761905
"96",5.82797619047619
"97",5.99851190476191
"98",5.7477408008658
"99",5.53965097402597
"100",5.97817911255411
"101",5.94562770562771
"102",6.37030844155844
"103",6.50296807359307
"104",6.66383928571429
"105",6.94534090909091
"106",7.25611471861472
"107",7.4103354978355
"108",7.27333603896104
"109",6.201920995671
"110",5.86144480519481
"111",6.14782467532468
"112",5.97247835497835
"113",5.88677489177489
"114",5.95144751082251
"115",6.2459145021645
"116",5.95263798701299
"117",4.90293921356421
"118",6.13605248917749
"119",6.3686066017316
"120",6.26810155122655
"121",6.64521194083694
"122",6.98459415584416
"123",7.20896915584416
"124",7.45177308802309
"125",7.73688311688312
"126",7.89228896103896
"127",6.51225649350649
"128",6.20647997835498
"129",6.03272456709957
"130",6.21777597402597
"131",5.77872023809524
"132",5.83112824675325
"133",5.71256764069264
"134",6.25595238095238
"135",6.25639880952381
"136",6.5264880952381
"137",5.27643939393939
"138",5.18078643578644
"139",6.50238636363636
"140",6.33815295815296
"141",6.25914772727273
"142",6.81539051226551
"143",7.49533098845599
"144",7.64518488455988
"145",7.87219155844156
"146",8.05191287878788
"147",5.98224837662338
"148",6.65419372294372
"149",6.59159902597403
"150",6.50518127705628
"151",6.49353354978355
"152",6.35511363636364
"153",6.49613095238095
"154",6.65654761904762
"155",6.46082251082251
"156",5.23069354256854
"157",4.35400258967223
"158",6.06431998556999
"159",6.09264069264069
"160",6.41358405483405
"161",7.11855068542569
"162",7.67300414862915
"163",7.79321158008658
"164",7.87163690476191
"165",8.3788474025974
"166",7.41547619047619
"167",7.33125
"168",6.63511904761905
"169",7.0641369047619
"170",6.59542748917749
"171",4.7166369047619
"172",5.45905032467532
"173",6.41262085137085
"174",7.00159181096681
"175",7.04429473304473
"176",7.1212490981241
"177",7.8083648989899
"178",8.14226370851371
"179",8.22346590909091
"180",8.367545995671
"181",8.7961525974026
"182",8.74597402597403
"183",7.48511904761905
"184",7.00505952380952
"185",5.90472132034632
"186",6.23010010822511
"187",4.55119092712843
"188",4.43219465058751
"189",6.2854825036075
"190",7.40992694805195
"191",7.14483315295815
"192",7.31673340548341
"193",7.49419372294372
"194",7.98085858585859
"195",8.69928300865801
"196",8.88261093073593
"197",9.05531114718615
"198",8.91414502164502
"199",8.92943722943723
